,OpenTime,OpenPrice,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Number of Trades
4455,1587830500000.0,7503.53,7565.2,7501.25,7554.09,1.90499,1587834000000.0,14371.322,40.0
4456,1587834000000.0,7553.97,7556.14,7532.13,7532.13,0.056479,1587837700000.0,426.30582,3.0
4457,1587837700000.0,7540.82,7540.82,7537.05,7537.05,0.041804,1587841200000.0,315.0863,3.0
4458,1587841200000.0,7527.74,7527.74,7527.71,7527.71,0.198329,1587844700000.0,1492.9683,3.0
4459,1587844700000.0,7559.34,7561.84,7555.71,7558.43,0.389996,1587848400000.0,2948.3938,9.0
4460,1587848400000.0,7547.29,7547.29,7533.41,7533.41,0.052529,1587852000000.0,395.93118,3.0
4461,1587852000000.0,7544.53,7544.53,7544.53,7544.53,0.039739,1587855600000.0,299.81207,1.0
4462,1587855600000.0,7523.39,7541.8,7522.0,7541.8,0.08882,1587859200000.0,668.94147,3.0
4463,1587859200000.0,7552.63,7567.09,7552.63,7553.92,0.096839,1587862800000.0,732.35486,4.0
4464,1587862800000.0,7564.07,7587.12,7564.07,7587.12,0.129485,1587866400000.0,980.858,5.0
4465,1587866400000.0,7587.12,7587.12,7587.12,7587.12,0.0,1587870000000.0,0.0,0.0
4466,1587870000000.0,7568.41,7573.66,7568.41,7573.66,0.040196,1587873600000.0,304.3491,2.0
4467,1587873600000.0,7559.54,7559.54,7559.54,7559.54,0.039701,1587877200000.0,300.1213,1.0
4468,1587877200000.0,7542.14,7542.14,7542.14,7542.14,0.01051,1587880800000.0,79.26789,1.0
4469,1587880800000.0,7536.27,7550.52,7536.27,7549.55,0.079651,1587884500000.0,600.8101,5.0
4470,1587884500000.0,7560.71,7560.71,7546.56,7550.79,0.158841,1587888000000.0,1199.6769,8.0
4471,1587888000000.0,7552.21,7552.21,7540.77,7540.77,0.251173,1587891500000.0,1894.5552,5.0
4472,1587891500000.0,7559.02,7574.89,7559.02,7573.29,0.162734,1587895200000.0,1231.7258,7.0
4473,1587895200000.0,7591.24,7648.33,7591.24,7645.95,1.686499,1587898700000.0,12851.746,18.0
4474,1587898700000.0,7626.41,7666.39,7626.41,7655.72,0.168391,1587902400000.0,1288.4443,6.0
4475,1587902400000.0,7644.28,7654.56,7644.28,7653.7,0.14635,1587906000000.0,1119.6631,5.0
4476,1587906000000.0,7675.94,7696.42,7643.92,7696.42,1.141177,1587909600000.0,8753.818,34.0
4477,1587909600000.0,7696.42,7696.42,7641.91,7641.91,0.620837,1587913200000.0,4754.1865,17.0
4478,1587913200000.0,7640.46,7640.46,7523.08,7568.96,2.476145,1587916800000.0,18806.352,36.0
4479,1587916800000.0,7544.36,7587.84,7541.82,7580.0,0.521722,1587920400000.0,3945.486,17.0
4480,1587920400000.0,7567.89,7586.51,7562.35,7586.51,1.042124,1587924000000.0,7890.584,66.0
4481,1587924000000.0,7581.6,7632.7,7581.6,7631.92,0.806352,1587927600000.0,6142.8154,20.0
4482,1587927600000.0,7624.66,7639.1,7624.66,7639.1,0.248865,1587931300000.0,1899.3147,3.0
4483,1587931300000.0,7660.18,7661.63,7642.54,7644.12,0.261388,1587934800000.0,2001.2026,4.0
4484,1587934800000.0,7643.19,7654.97,7626.48,7633.93,0.434612,1587938500000.0,3319.7854,19.0
4485,1587938500000.0,7635.72,7640.72,7590.43,7608.62,0.427132,1587942000000.0,3257.5835,11.0
4486,1587942000000.0,7636.48,7693.9,7636.42,7688.52,1.025972,1587945500000.0,7853.3306,27.0
4487,1587945500000.0,7708.18,7769.25,7708.18,7737.02,2.794039,1587949200000.0,21616.654,69.0
4488,1587949200000.0,7775.38,7795.69,7693.07,7698.16,3.141941,1587952700000.0,24274.893,57.0
4489,1587952700000.0,7698.98,7717.96,7698.98,7717.96,0.163298,1587956400000.0,1259.4006,4.0
4490,1587956400000.0,7754.08,7754.08,7742.36,7751.04,0.163455,1587960000000.0,1266.5941,6.0
4491,1587960000000.0,7727.03,7738.4,7719.06,7736.68,0.644183,1587963600000.0,4978.6587,13.0
4492,1587963600000.0,7752.85,7752.85,7701.42,7701.42,0.141694,1587967200000.0,1093.5094,5.0
4493,1587967200000.0,7711.12,7716.5,7670.11,7675.54,1.232623,1587970800000.0,9486.067,26.0
4494,1587970800000.0,7652.67,7694.75,7652.67,7694.75,0.335232,1587974400000.0,2576.116,11.0
4495,1587974400000.0,7716.68,7742.53,7696.14,7696.14,0.506944,1587978000000.0,3912.7034,14.0
4496,1587978000000.0,7691.13,7729.59,7691.13,7729.59,0.083787,1587981600000.0,645.6356,3.0
4497,1587981600000.0,7706.11,7714.72,7679.7,7679.7,0.457191,1587985300000.0,3521.0688,10.0
4498,1587985300000.0,7716.28,7716.28,7716.28,7716.28,0.038923,1587988800000.0,300.34076,1.0
4499,1587988800000.0,7710.84,7715.13,7685.9,7686.52,0.642842,1587992500000.0,4951.101,15.0
4500,1587992500000.0,7676.62,7706.11,7641.2,7699.4,0.926286,1587996000000.0,7095.76,17.0
4501,1587996000000.0,7677.75,7678.11,7663.36,7663.36,0.089705,1587999500000.0,688.5806,5.0
4502,1587999500000.0,7664.5,7678.55,7664.5,7678.55,0.051785,1588003200000.0,397.45474,2.0
4503,1588003200000.0,7676.31,7687.11,7670.82,7670.82,1.01237,1588006700000.0,7769.125,17.0
4504,1588006700000.0,7665.07,7668.85,7660.37,7667.46,0.214185,1588010400000.0,1641.3204,8.0
4505,1588010400000.0,7674.88,7718.91,7674.88,7703.43,0.459388,1588014000000.0,3533.422,11.0
4506,1588014000000.0,7718.08,7725.41,7705.34,7707.12,0.143538,1588017600000.0,1107.9768,10.0
4507,1588017600000.0,7698.79,7709.02,7698.79,7709.02,0.107553,1588021200000.0,828.63354,5.0
4508,1588021200000.0,7715.48,7755.71,7715.48,7751.58,0.350229,1588024800000.0,2712.269,8.0
4509,1588024800000.0,7730.55,7730.55,7730.55,7730.55,0.003,1588028400000.0,23.19165,1.0
4510,1588028400000.0,7773.49,7792.12,7760.33,7792.12,0.68527,1588032000000.0,5338.8945,6.0
4511,1588032000000.0,7777.59,7777.59,7739.16,7745.3,0.15861,1588035600000.0,1229.5132,7.0
4512,1588035600000.0,7749.2,7749.2,7704.56,7714.54,0.41676,1588039300000.0,3219.6733,13.0
4513,1588039300000.0,7691.83,7701.48,7685.61,7701.48,0.195108,1588042800000.0,1501.0488,8.0
4514,1588075200000.0,7744.05,7744.16,7742.74,7744.16,0.981002,1588078800000.0,7596.97,23.0
4515,1588078800000.0,7738.19,7742.49,7734.47,7734.47,0.551435,1588082400000.0,4265.544,6.0
4516,1588082400000.0,7733.16,7741.15,7701.14,7702.44,0.24398,1588086000000.0,1883.7894,11.0
4517,1588086000000.0,7686.15,7729.24,7679.02,7718.57,0.511616,1588089600000.0,3937.5752,19.0
4518,1588089600000.0,7717.13,7738.57,7717.13,7729.16,0.274779,1588093300000.0,2122.8865,10.0
4519,1588093300000.0,7732.36,7740.13,7717.75,7735.2,0.268472,1588096800000.0,2076.1448,11.0
4520,1588096800000.0,7737.86,7749.79,7732.93,7749.79,0.339148,1588100500000.0,2626.7517,6.0
4521,1588100500000.0,7745.36,7746.33,7741.54,7741.54,0.093782,1588104000000.0,726.255,4.0
4522,1588104000000.0,7722.5,7742.45,7716.49,7742.45,0.188796,1588107500000.0,1460.2129,5.0
4523,1588107500000.0,7725.2,7732.86,7725.2,7732.86,0.105341,1588111200000.0,814.2446,3.0
4524,1588111200000.0,7750.2,7753.63,7750.2,7752.73,0.259807,1588114800000.0,2013.9238,4.0
4525,1588114800000.0,7767.13,7772.93,7757.46,7762.54,0.248146,1588118400000.0,1926.3973,7.0
4526,1588118400000.0,7755.64,7765.39,7743.49,7743.49,1.294901,1588122000000.0,10039.988,20.0
4527,1588122000000.0,7757.27,7757.27,7754.74,7754.74,0.117251,1588125600000.0,909.28796,5.0
4528,1588125600000.0,7788.67,7826.62,7738.94,7799.26,1.780238,1588129200000.0,13886.391,44.0
4529,1588129200000.0,7805.73,7831.76,7803.37,7818.16,0.144658,1588132800000.0,1131.153,8.0
4530,1588132800000.0,7832.65,7849.8,7817.27,7848.62,0.256609,1588136400000.0,2010.5009,10.0
4531,1588136400000.0,7879.38,7880.3,7859.38,7859.38,0.129434,1588140000000.0,1019.1136,3.0
4532,1588140000000.0,7883.93,7964.12,7883.93,7960.04,1.579692,1588143600000.0,12509.608,47.0
4533,1588143600000.0,7970.46,7970.46,7951.16,7953.59,0.1444,1588147300000.0,1149.4453,7.0
4534,1588147300000.0,7962.79,7968.56,7948.89,7948.89,0.236055,1588150800000.0,1879.2528,8.0
4535,1588150800000.0,7968.55,8001.83,7968.55,7994.32,0.155112,1588154300000.0,1239.0491,8.0
4536,1588154300000.0,8005.44,8165.18,8005.44,8131.11,2.516788,1588158000000.0,20422.77,59.0
4537,1588158000000.0,8132.13,8182.01,8132.13,8155.26,1.227447,1588161500000.0,10022.076,22.0
4538,1588161500000.0,8147.08,8258.01,8147.08,8244.42,2.928099,1588165200000.0,24023.078,48.0
4539,1588165200000.0,8269.94,8394.73,8269.94,8314.77,8.65422,1588168800000.0,72049.016,187.0
4540,1588168800000.0,8301.53,8369.42,8286.84,8369.42,0.764643,1588172400000.0,6360.4185,36.0
4541,1588172400000.0,8356.42,8380.9,8312.54,8371.86,1.42587,1588176000000.0,11909.069,24.0
4542,1588176000000.0,8378.66,8740.76,8354.41,8614.6,15.525347,1588179600000.0,133702.14,162.0
4543,1588179600000.0,8600.3,8959.84,8600.3,8713.15,18.88487,1588183200000.0,165940.0,239.0
4544,1588183200000.0,8734.39,8737.86,8602.73,8628.53,2.55915,1588186800000.0,22134.709,73.0
4545,1588186800000.0,8656.01,8768.2,8656.01,8732.85,0.432516,1588190400000.0,3760.1382,16.0
4546,1588190400000.0,8739.0,8900.81,8739.0,8900.81,1.608395,1588194000000.0,14150.572,35.0
4547,1588194000000.0,8918.82,8918.82,8785.22,8857.92,4.632446,1588197600000.0,40987.39,108.0
4548,1588197600000.0,8832.5,8832.5,8697.67,8794.19,1.294801,1588201300000.0,11343.953,61.0
4549,1588201300000.0,8761.68,8785.63,8724.5,8785.63,0.225515,1588204800000.0,1975.6077,6.0
4550,1588204800000.0,8772.08,8825.19,8729.52,8821.83,1.089585,1588208300000.0,9547.834,32.0
4551,1588208300000.0,8814.86,8876.14,8811.62,8854.26,1.261912,1588212000000.0,11156.246,37.0
4552,1588212000000.0,8831.94,8967.08,8831.94,8967.08,2.587544,1588215500000.0,22961.6,59.0
4553,1588215500000.0,8957.58,9298.08,8868.15,9287.47,5.165978,1588219200000.0,46937.895,179.0
4554,1588219200000.0,9275.86,9275.86,9037.73,9156.08,33.63912,1588222800000.0,306905.1,271.0
4555,1588222800000.0,9178.75,9402.4,9178.75,9388.6,2.793209,1588226400000.0,25862.84,57.0
4556,1588226400000.0,9371.48,9464.54,9275.55,9322.37,10.913203,1588230000000.0,102169.26,195.0
4557,1588230000000.0,9290.95,9313.52,9040.69,9194.52,6.061912,1588233600000.0,55759.086,122.0
4558,1588233600000.0,9168.73,9194.4,9103.28,9123.54,1.50743,1588237200000.0,13783.105,35.0
4559,1588237200000.0,9116.64,9116.64,8668.37,8681.64,15.572766,1588240800000.0,138215.45,224.0
4560,1588240800000.0,8635.96,8908.47,8579.14,8908.47,4.925147,1588244400000.0,43224.1,145.0
4561,1588244400000.0,8906.78,8953.75,8851.72,8869.31,3.008616,1588248000000.0,26798.451,52.0
4562,1588248000000.0,8828.76,8879.17,8780.16,8780.16,0.83402,1588251600000.0,7351.213,11.0
4563,1588251600000.0,8735.4,8876.73,8735.4,8876.73,1.418648,1588255300000.0,12532.723,21.0
4564,1588255300000.0,8822.93,8822.93,8822.93,8822.93,0.002248,1588258800000.0,19.833946,1.0
4565,1588258800000.0,8837.76,8837.76,8732.04,8732.04,0.275863,1588262300000.0,2414.6575,7.0
4566,1588262300000.0,8746.54,8750.77,8647.15,8647.15,0.268475,1588266000000.0,2338.43,10.0
4567,1588266000000.0,8699.12,8700.59,8437.0,8566.93,2.606715,1588269500000.0,22402.896,52.0
4568,1588269500000.0,8588.13,8726.77,8588.13,8651.77,1.912377,1588273200000.0,16561.203,33.0
4569,1588273200000.0,8714.63,8832.58,8714.63,8832.58,0.484196,1588276800000.0,4255.6167,15.0
4570,1588276800000.0,8795.89,8808.72,8712.08,8808.02,0.468463,1588280400000.0,4111.5527,13.0
4571,1588280400000.0,8819.2,8841.21,8746.92,8788.66,9.163326,1588284000000.0,80409.5,46.0
4572,1588284000000.0,8725.21,8755.35,8640.59,8755.35,0.279655,1588287600000.0,2433.2334,9.0
4573,1588287600000.0,8639.35,8670.83,8612.94,8612.94,0.715393,1588291200000.0,6171.314,11.0
4574,1588291200000.0,8623.7,8723.61,8623.7,8714.26,1.207997,1588294800000.0,10482.25,38.0
4575,1588294800000.0,8730.62,8759.38,8661.19,8665.29,0.465543,1588298400000.0,4056.445,25.0
